Parking_texto|Parking|Parking_gratis_texto|Parking_gratis|Gimnasio_texto|Gimnasio|Restaurante_texto|Restaurante|Piscina_texto|Piscina|Piscina_interior_texto|Piscina_interior|Aire_texto|Aire|Calefaccion_texto|Calefaccion|Vistas_texto|Vistas|Terraza_texto|Terraza|Baño_privado_texto|Baño_privado
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a un patio interior|True|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
parking|True|False|False|False|False|False|False|piscina al aire libre|True|False|False|individual_air_conditioning|True|heating|True|False|False|terraza|True|baño privado|True
parking|True|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a un patio interior|True|balcón|True|baño privado|True
False|False|False|False|gimnasio|True|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|balcón|True|baño en la habitación|True
False|False|False|False|gimnasio|True|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
False|False|False|False|gimnasio|True|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
parking|True|False|False|gimnasio|True|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño en la habitación|True
2. parking en el alojamiento|True|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
False|False|False|False|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|heating|True|vistas al río|True|terraza|True|False|False
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
parking|True|False|False|False|False|False|False|piscina privada|True|False|False|individual_air_conditioning|True|heating|True|vistas a la piscina|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al mar|True|False|False|baño privado|True
False|False|False|False|gimnasio|True|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a la ciudad|True|balcón|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas|True|False|False|baño privado|True
False|False|False|False|gimnasio|True|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a un patio interior|True|False|False|baño en la habitación|True
parking|True|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|False|False|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|individual_air_conditioning|True|heating|True|vistas al jardín|True|terraza|True|baño en la habitación|True
parking|True|False|False|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|restaurante|True|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|False|False|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|balcón|True|baño en la habitación|True
False|False|False|False|False|False|2 restaurantes|True|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a un patio interior|True|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|False|False|vistas al jardín|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|piscina al aire libre|True|False|False|aire acondicionado|True|heating|True|vistas al mar|True|terraza|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|balcón|True|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|terraza|True|baño en la habitación|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas a la piscina|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|individual_air_conditioning|True|heating|True|vistas a un lugar de interés|True|False|False|baño en la habitación|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|vistas al jardín|True|balcón|True|baño privado|True
parking gratis|True|parking gratis|True|False|False|False|False|piscina privada|True|False|False|False|False|False|False|vistas al jardín|True|terraza|True|baño privado|True
False|False|False|False|False|False|False|False|False|False|False|False|aire acondicionado|True|heating|True|False|False|False|False|baño privado|True
